Month,SKU_ID,SKU_Description,Product_Group,UoM,Actual_Demand_units,Supplier_LeadTime_days,Transit_days,OnHand_Inventory_units,Planned_Receipts_units,MOQ_units,Unit_Cost_USD,Shelf_Life_days,Planned_Receipt_Date,Actual_Receipt_Date,Customer_Priority
01/11/2024 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,200,29,6,10,248,5241,"18,62",730,08/11/2024 00:00,11/11/2024 00:00,High
01/12/2024 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,407,29,8,1103,296,5241,"18,62",730,08/12/2024 00:00,08/12/2024 00:00,High
01/01/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,634,29,10,709,602,5241,"18,62",730,08/01/2025 00:00,17/01/2025 00:00,High
01/02/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,781,29,1,553,699,5241,"18,62",730,08/02/2025 00:00,15/02/2025 00:00,High
01/03/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,448,29,4,170,251,5241,"18,62",730,08/03/2025 00:00,12/03/2025 00:00,High
01/04/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,563,29,7,749,306,5241,"18,62",730,08/04/2025 00:00,17/04/2025 00:00,High
01/05/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,568,29,3,906,482,5241,"18,62",730,08/05/2025 00:00,09/05/2025 00:00,High
01/06/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,548,29,4,0,160,5241,"18,62",730,08/06/2025 00:00,11/06/2025 00:00,High
01/07/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,671,29,2,682,725,5241,"18,62",730,08/07/2025 00:00,14/07/2025 00:00,High
01/08/2025 00:00,SKU0001,Surfactants Grade A,Surfactants,kg,655,29,7,792,390,5241,"18,62",730,08/08/2025 00:00,07/08/2025 00:00,High
01/11/2024 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,163,51,7,156,41,516,"23,19",365,08/11/2024 00:00,11/11/2024 00:00,Low
01/12/2024 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,52,51,4,0,41,516,"23,19",365,08/12/2024 00:00,15/12/2024 00:00,Low
01/01/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,201,51,6,52,145,516,"23,19",365,08/01/2025 00:00,15/01/2025 00:00,Low
01/02/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,155,51,12,206,134,516,"23,19",365,08/02/2025 00:00,12/02/2025 00:00,Low
01/03/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,166,51,8,219,180,516,"23,19",365,08/03/2025 00:00,09/03/2025 00:00,Low
01/04/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,167,51,6,164,199,516,"23,19",365,08/04/2025 00:00,08/04/2025 00:00,Low
