SKU_ID,SKU_Description,Product_Group,UoM,Forecast_30d
SKU0001,Surfactants Grade A,Surfactants,kg,661.8006856571005
SKU0002,Surfactants Grade A,Surfactants,kg,156.55555472821536
SKU0003,Surfactants Grade C,Surfactants,kg,387.4444336774508
SKU0004,Solvents Grade C,Solvents,litre,269.5555703843945
SKU0005,Intermediates Grade B,Intermediates,litre,403.33327019020726
SKU0006,Intermediates Grade B,Intermediates,kg,240.44991722597103
SKU0007,Surfactants Grade A,Surfactants,kg,296.777776705178
SKU0008,Additives Grade C,Additives,kg,394.1110457416092
SKU0009,Packaging Grade C,Packaging,litre,367.8888629192401
SKU0010,Surfactants Grade A,Surfactants,kg,231.66667046125008
SKU0011,Surfactants Grade A,Surfactants,kg,253.33334147017993
SKU0012,Intermediates Grade C,Intermediates,kg,397.88886720893913
SKU0013,Solvents Grade B,Solvents,kg,321.22223233090244
SKU0014,Intermediates Grade A,Intermediates,litre,292.11112018240283
SKU0015,Solvents Grade A,Solvents,litre,459.99999129333895
SKU0016,Solvents Grade B,Solvents,litre,176.99999564692797
SKU0017,Additives Grade C,Additives,kg,1584.8883213912063
SKU0018,Packaging Grade A,Packaging,kg,133.1111149382852
SKU0019,Packaging Grade C,Packaging,kg,563.2222422493585
SKU0020,Solvents Grade B,Solvents,litre,263.16511895972667
SKU0021,Additives Grade C,Additives,kg,543.22224473942
SKU0022,Surfactants Grade C,Surfactants,kg,363.6666230129355
SKU0023,Intermediates Grade A,Intermediates,kg,774.5108078339197
SKU0024,Intermediates Grade C,Intermediates,litre,92.33333396070442
SKU0025,Intermediates Grade A,Intermediates,litre,782.1111068008662
SKU0026,Packaging Grade B,Packaging,litre,195.88888923393424
SKU0027,Surfactants Grade A,Surfactants,kg,61.00000041120182
SKU0028,Solvents Grade A,Solvents,litre,134.44443173222916
SKU0029,Packaging Grade C,Packaging,litre,123.22221853865352
SKU0030,Solvents Grade C,Solvents,kg,266.4444488175605
SKU0031,Intermediates Grade A,Intermediates,kg,150.22222112216124
SKU0032,Solvents Grade C,Solvents,kg,315.5555509679504
SKU0033,Solvents Grade A,Solvents,kg,473.0000018491541
SKU0034,Intermediates Grade A,Intermediates,kg,808.8888138562844
SKU0035,Packaging Grade B,Packaging,kg,701.2222577306006
SKU0036,Solvents Grade B,Solvents,kg,219.4444470767482
SKU0037,Additives Grade A,Additives,litre,889.2222332883205
SKU0038,Additives Grade A,Additives,litre,180.22222303926767
SKU0039,Packaging Grade B,Packaging,kg,130.11111258266413
SKU0040,Solvents Grade A,Solvents,litre,265.3333455956797
SKU0041,Packaging Grade B,Packaging,litre,224.05613392584695
SKU0042,Additives Grade B,Additives,kg,112.00000002237849
SKU0043,Surfactants Grade B,Surfactants,litre,409.8888886977793
SKU0044,Packaging Grade B,Packaging,kg,553.2222240494395
SKU0045,Solvents Grade A,Solvents,litre,24.00000025331975
SKU0046,Packaging Grade A,Packaging,kg,644.6666947915843
SKU0047,Surfactants Grade C,Surfactants,kg,133.22222409204895
SKU0048,Solvents Grade B,Solvents,kg,861.8888603488173
SKU0049,Packaging Grade C,Packaging,kg,720.1110803923958
SKU0050,Intermediates Grade B,Intermediates,kg,227.00000044703484
SKU0051,Intermediates Grade C,Intermediates,litre,406.31487747651516
SKU0052,Packaging Grade C,Packaging,litre,686.7780221416054
SKU0053,Intermediates Grade B,Intermediates,kg,243.11110720280752
SKU0054,Intermediates Grade C,Intermediates,kg,223.77777686318294
SKU0055,Packaging Grade A,Packaging,kg,517.4444417806765
SKU0056,Surfactants Grade C,Surfactants,litre,287.11111512049206
SKU0057,Solvents Grade C,Solvents,litre,501.94245342819534
SKU0058,Additives Grade B,Additives,kg,638.7777649960775
SKU0059,Surfactants Grade A,Surfactants,kg,122.00000008599507
SKU0060,Additives Grade A,Additives,kg,555.5272760928672
SKU0061,Surfactants Grade B,Surfactants,litre,511.8889162219889
SKU0062,Packaging Grade B,Packaging,kg,507.22226418000963
SKU0063,Intermediates Grade C,Intermediates,litre,517.7380414395343
SKU0064,Solvents Grade C,Solvents,kg,351.6667514281696
SKU0065,Solvents Grade B,Solvents,litre,679.7777789789484
SKU0066,Surfactants Grade B,Surfactants,kg,674.1111238563673
SKU0067,Solvents Grade B,Solvents,litre,1686.5552770576232
SKU0068,Solvents Grade A,Solvents,kg,649.5556351454527
SKU0069,Solvents Grade B,Solvents,kg,81.55555573657085
SKU0070,Surfactants Grade C,Surfactants,litre,138.99902222046322
SKU0071,Packaging Grade A,Packaging,kg,2561.6546770519035
SKU0072,Packaging Grade C,Packaging,litre,350.5555550372353
SKU0073,Additives Grade B,Additives,kg,227.74130095335983
SKU0074,Packaging Grade A,Packaging,kg,384.99999188466944
SKU0075,Packaging Grade A,Packaging,litre,883.999999910593
SKU0076,Intermediates Grade C,Intermediates,kg,200.22222200640763
SKU0077,Intermediates Grade C,Intermediates,kg,166.00000707665825
SKU0078,Solvents Grade C,Solvents,kg,720.2222152205177
SKU0079,Packaging Grade A,Packaging,kg,524.777807494021
SKU0080,Additives Grade B,Additives,litre,458.6666755939797
SKU0081,Solvents Grade B,Solvents,kg,147.9999998956919
SKU0082,Packaging Grade C,Packaging,kg,269.7777743108659
SKU0083,Intermediates Grade A,Intermediates,kg,165.0000032051028
SKU0084,Solvents Grade C,Solvents,litre,274.33331722047177
SKU0085,Packaging Grade A,Packaging,kg,97.55555639735671
SKU0086,Solvents Grade A,Solvents,kg,274.33333076201404
SKU0087,Solvents Grade A,Solvents,litre,242.77776813415116
SKU0088,Additives Grade B,Additives,kg,620.6666377333609
SKU0089,Packaging Grade A,Packaging,litre,477.4443821749461
SKU0090,Additives Grade C,Additives,kg,241.33334020863566
SKU0091,Additives Grade C,Additives,kg,206.44444355615954
SKU0092,Intermediates Grade A,Intermediates,kg,410.7776877286917
SKU0093,Solvents Grade A,Solvents,kg,369.77778012441456
SKU0094,Additives Grade A,Additives,kg,264.99999921023846
SKU0095,Additives Grade B,Additives,kg,368.9999976605177
SKU0096,Surfactants Grade C,Surfactants,litre,401.88890650517124
SKU0097,Packaging Grade B,Packaging,litre,194.55555630285377
SKU0098,Additives Grade C,Additives,kg,122.55555211259758
SKU0099,Solvents Grade B,Solvents,litre,202.33333334392063
SKU0100,Packaging Grade A,Packaging,kg,486.44420349356085
