Mes,ID_SKU,Descripcion_SKU,Grupo_Producto,Unidad_Medida,Prioridad_Cliente,Demanda_Real,Pronostico_30_dias,Demanda_Diaria_Proyectada,Desviacion_Demanda_Mensual,Desviacion_Demanda_Diaria,LeadTime_Proveedor_dias,Transito_dias,LeadTime_Total_dias,MOQ,Inventario_Actual,Recepciones_Planificadas,Fecha_Recepcion_Planificada,Fecha_Recepcion_Ajustada,Dias_Hasta_Recepcion,Vida_Util_dias,Demanda_Durante_LeadTime,Dias_Inventario_Proyectados,Demanda_Hasta_Recepcion,Inventario_Despues_Espera_Recepcion,Riesgo_Quiebre_Antes_Recepcion,Inventario_Despues_Recepcion,Cobertura_MOQ_dias,Riesgo_Caducidad_MOQ,Riesgo_Caducidad_Inventario,Nivel_Servicio,Z,Stock_Seguridad,Punto_Reorden,Cantidad_Recomendada,Accion_Final
2025-07-01,SKU0001,Surfactants Grade A,Surfactants,kg,High,671,661.8006856571005,22.060022855236685,163.255253446184,29.806194981232665,29,2,31,5241,682,725,2025-07-08,2025-08-08,8,730,683.8607085123373,30.915652466701978,176.48018284189348,505.51981715810655,No,1230.5198171581064,237.57908295892238,Sin riesgo,No,0.95,1.645,272.9941164922756,956.8548250046128,0,OK
2025-07-01,SKU0002,Surfactants Grade A,Surfactants,kg,Low,167,156.55555472821536,5.218518490940512,39.99222146590232,7.30154727387234,51,7,58,516,232,143,2025-07-08,2025-08-08,8,365,302.6740724745497,44.45706198085879,41.748147927524094,190.2518520724759,No,333.2518520724759,98.87863785397903,Sin riesgo,No,0.95,1.645,91.47339550646124,394.14746798101095,516,Reabastecer
2025-07-01,SKU0003,Surfactants Grade C,Surfactants,kg,Medium,357,387.4444336774508,12.914814455915026,73.27156489540961,13.377496305639834,46,10,56,8372,265,361,2025-07-08,2025-08-08,8,540,723.2296095312415,20.519071404748612,103.31851564732021,161.68148435267977,No,522.6814843526797,648.2477954737939,Negociar MOQ - Alto riesgo de caducar,No,0.95,1.645,164.67768588749132,887.9072954187328,8372,Reabastecer - Negociar MOQ
2025-07-01,SKU0004,Solvents Grade C,Solvents,litre,Medium,278,269.5555703843945,8.985185679479818,57.971353078721386,10.584072590104087,28,7,35,5361,551,159,2025-07-08,2025-08-08,8,1095,314.4814987817936,61.32316233134308,71.88148543583854,479.11851456416144,No,638.1185145641614,596.6487717937027,Sin riesgo,No,0.95,1.645,103.00367840137055,417.4851771831642,0,OK
2025-07-01,SKU0005,Intermediates Grade B,Intermediates,litre,Medium,530,403.33327019020726,13.444442339673575,124.04483956304763,22.647385590263486,24,8,32,2608,688,62,2025-07-08,2025-08-08,8,365,430.2221548695544,51.173561730393374,107.5555387173886,580.4444612826114,No,642.4444612826114,193.98350144311905,Sin riesgo,No,0.95,1.645,210.74581823960708,640.9679731091614,0,OK
2025-07-01,SKU0006,Intermediates Grade B,Intermediates,kg,Medium,192,240.44991722597103,8.014997240865702,67.01243665668835,12.234741063418095,20,8,28,9217,105,174,2025-07-08,2025-08-08,8,730,224.41992274423964,13.10044119100145,64.11997792692561,40.880022073074386,No,214.88002207307437,1149.9692043567652,Negociar MOQ - Alto riesgo de caducar,No,0.95,1.645,106.49757046785415,330.9174932120938,9217,Reabastecer - Negociar MOQ
2025-07-01,SKU0007,Surfactants Grade A,Surfactants,kg,Medium,329,296.777776705178,9.892592556839267,58.252706184157454,10.635440404261242,52,10,62,3055,125,130,2025-07-08,2025-08-08,8,730,613.3407385240346,12.63571700560749,79.14074045471413,45.859259545285866,No,175.85925954528585,308.81692361704705,Sin riesgo,No,0.95,1.645,137.75812574568135,751.0988642697159,3055,Reabastecer
2025-07-01,SKU0008,Additives Grade C,Additives,kg,Medium,415,394.1110457416092,13.13703485805364,83.68784592493438,15.279240334034451,19,11,30,1578,570,321,2025-07-08,2025-08-08,8,1095,394.1110457416092,43.38878644678044,105.09627886442912,464.9037211355709,No,785.9037211355709,120.1184298474027,Sin riesgo,No,0.95,1.645,137.66650654651707,531.7775522881262,0,OK
2025-07-01,SKU0009,Packaging Grade C,Packaging,litre,Medium,379,367.8888629192401,12.262962097308003,88.22628733987268,16.10784258032691,50,8,58,5443,0,264,2025-07-08,2025-08-08,8,730,711.2518016438642,0.0,98.10369677846403,-98.10369677846403,Alto,165.89630322153596,443.8568721658906,Sin riesgo,No,0.95,1.645,201.79819425104253,913.0499958949067,5443,Urgente - Riesgo de quiebre
2025-07-01,SKU0010,Surfactants Grade A,Surfactants,kg,Medium,182,231.66667046125008,7.722222348708336,41.18589294622343,7.519480872546493,32,9,41,2662,176,45,2025-07-08,2025-08-08,8,540,316.6111162970418,22.791366533163703,61.77777878966669,114.22222121033332,No,159.22222121033332,344.71941881410106,Sin riesgo,No,0.95,1.645,79.20374002492044,395.8148563219622,2662,Reabastecer
